,make,model,year,style,distance,engine_capacity,fuel_type,transmission,price
358,55,289,1996.0,10,460000.0,2200.0,0,1,1300.0
359,66,430,2015.0,3,139000.0,1461.0,0,0,12800.0
360,61,143,2006.0,4,360000.0,1300.0,0,1,2999.0
361,27,319,2010.0,7,171264.0,5400.0,4,0,19999.0
362,82,737,2010.0,6,203000.0,2000.0,0,1,8250.0
363,82,212,2008.0,6,270.0,2000.0,0,1,6700.0
364,35,120,1996.0,10,325000.0,1997.0,4,1,2200.0
365,72,703,2014.0,10,202300.0,1598.0,0,0,13199.0
366,48,362,2005.0,10,230000.0,4300.0,4,0,10000.0
367,66,489,2012.0,11,162200.0,1461.0,0,1,5899.0
368,72,524,2018.0,11,146600.0,1600.0,0,0,12700.0
369,61,143,2010.0,4,97000.0,1598.0,4,0,7700.0
370,79,145,2014.0,11,191000.0,1800.0,3,0,9700.0
371,79,216,2018.0,10,60000.0,2500.0,3,0,20000.0
372,66,383,2013.0,11,190000.0,1500.0,0,1,8500.0
373,66,430,2015.0,9,184000.0,1500.0,0,0,10999.0
374,83,789,2006.0,9,294000.0,2400.0,0,0,8500.0
375,82,375,2010.0,4,164000.0,1400.0,4,0,7650.0
376,48,204,2011.0,4,122841.0,1800.0,2,0,11600.0
377,53,15,2008.0,4,172000.0,1399.0,0,1,4999.0
390,8,783,2017.0,3,100000.0,2000.0,2,0,37000.0
391,72,524,2009.0,11,235000.0,1400.0,4,0,6200.0
392,26,282,2012.0,1,256000.0,1300.0,0,1,4490.0
393,6,115,2004.0,10,314000.0,3000.0,0,0,5650.0
395,19,288,2012.0,3,67000.0,1500.0,0,1,7200.0
396,55,289,2002.0,10,11111.0,3200.0,0,0,5200.0
397,62,58,2011.0,4,160.0,1600.0,4,0,5300.0
398,72,703,2016.0,10,180000.0,2000.0,0,0,17450.0
399,66,383,2017.0,6,135000.0,1462.0,0,0,15850.0
400,57,255,2015.0,4,84000.0,1600.0,4,0,10900.0
401,79,151,2002.0,6,280000.0,2000.0,0,1,3150.0
402,47,345,2001.0,9,230000.0,1900.0,3,1,3500.0
403,61,143,2011.0,11,200123.0,2000.0,0,1,8200.0
404,82,558,2000.0,4,264000.0,1400.0,4,1,2500.0
405,6,113,2018.0,11,101000.0,2000.0,0,0,26000.0
406,81,133,2008.0,11,92424.0,1600.0,3,1,3399.0
407,55,354,2007.0,9,230000.0,2999.0,0,0,19500.0
408,37,811,2013.0,4,122000.0,1385.0,4,1,4800.0
409,72,524,2007.0,4,335165.0,1986.0,0,0,6750.0
410,66,383,2017.0,6,175000.0,1462.0,0,0,16000.0
411,55,768,2010.0,6,220000.0,2200.0,0,1,7500.0
412,6,113,2009.0,11,148000.0,2995.0,4,0,13000.0
413,19,461,2011.0,10,230000.0,1200.0,3,1,2800.0
414,79,746,2011.0,10,192000.0,1400.0,0,1,6800.0
415,82,551,2005.0,10,257000.0,3000.0,0,0,9000.0
416,79,155,2007.0,4,72000.0,1000.0,4,0,4400.0
417,66,655,2012.0,5,240000.0,1500.0,0,1,6800.0
418,79,451,2006.0,9,205000.0,2700.0,3,0,14800.0
419,72,703,2017.0,10,176000.0,2000.0,0,0,19450.0
420,61,259,2006.0,4,164274.0,1300.0,0,1,2999.0
